NO;ID;CD;D;S;EV;A;AG;SEX;EL;FOA;FSA;EPG;Species
2222;yuna;26;7;0.3550599;0.042972482;7;adult;female;674;452;4;382.5136612;Tri
2231;yuna;29;7;0.3550599;0.042972482;7;adult;female;674;452;4;131.36289;Tri
2162;betei;16;14;0.28800437;0.177110947;3;juvenile;female;436;485;4;0;Tri
2175;betei;19;14;0.28800437;0.177110947;3;juvenile;female;436;485;4;1970.649895;Tri
2213;betei;25;14;0.28800437;0.177110947;3;juvenile;female;436;485;4;65.04065041;Tri
2254;betei;31;14;0.28800437;0.177110947;3;juvenile;female;436;485;4;0;Tri
2134;binega;11;18;0.51352078;0.405885635;4;juvenile;female;346;480;4;913.5399674;Tri
2143;binega;14;18;0.51352078;0.405885635;4;juvenile;female;346;480;4;479.930192;Tri
2226;binega;29;18;0.51352078;0.405885635;4;juvenile;female;346;480;4;43.57298475;Tri
2242;binega;30;18;0.51352078;0.405885635;4;juvenile;female;346;480;4;480.2744425;Tri
2261;bon;32;7;0.47927046;0.619969418;4;juvenile;male;590;472;4;585.3658537;Tri
2312;bon;42;7;0.47927046;0.619969418;4;juvenile;male;590;472;4;382.0439351;Tri
2332;bon;44;7;0.47927046;0.619969418;4;juvenile;male;590;472;4;0;Tri
2337;bon;45;7;0.47927046;0.619969418;4;juvenile;male;590;472;4;139.4700139;Tri
2184;botan;21;12;0.57576761;0.712585327;2;juvenile;female;512;431;4;2196.969697;Tri
2270;botan;35;12;0.57576761;0.712585327;2;juvenile;female;512;431;4;1720.430108;Tri
2307;botan;42;12;0.57576761;0.712585327;2;juvenile;female;512;431;4;3859.649123;Tri
2335;botan;44;12;0.57576761;0.712585327;2;juvenile;female;512;431;4;1519.318926;Tri
2136;hado;12;14;0.37002238;0.239518961;4;juvenile;female;836;433;4;0;Tri
2206;hado;25;14;0.37002238;0.239518961;4;juvenile;female;836;433;4;0;Tri
2234;hado;29;14;0.37002238;0.239518961;4;juvenile;female;836;433;4;0;Tri
2247;hado;30;14;0.37002238;0.239518961;4;juvenile;female;836;433;4;0;Tri
2125;haku;9;6;0.27815987;0.190691365;2;juvenile;male;1022;444;4;1966.426859;Tri
2138;haku;12;6;0.27815987;0.190691365;2;juvenile;male;1022;444;4;3457.814661;Tri
2155;haku;16;6;0.27815987;0.190691365;2;juvenile;male;1022;444;4;2286.018075;Tri
2246;haku;30;6;0.27815987;0.190691365;2;juvenile;male;1022;444;4;6416.0401;Tri
2177;hiba;19;12;0.55441883;0.799084552;3;juvenile;female;693;441;4;0;Tri
2196;hiba;24;12;0.55441883;0.799084552;3;juvenile;female;693;441;4;1177.856302;Tri
2204;hiba;25;12;0.55441883;0.799084552;3;juvenile;female;693;441;4;1879.303362;Tri
2239;hiba;30;12;0.55441883;0.799084552;3;juvenile;female;693;441;4;2606.781154;Tri
2210;hirame;25;20;0.7272077;0.910951146;1;juvenile;male;726;485;2;233.9181287;Tri
2338;hirame;45;20;0.7272077;0.910951146;1;juvenile;male;726;485;2;1184.543156;Tri
2165;komatsu;16;18;0.36342292;0.199760193;2;juvenile;female;902;529;4;0;Tri
2179;komatsu;19;18;0.36342292;0.199760193;2;juvenile;female;902;529;4;52.25830534;Tri
2192;komatsu;23;18;0.36342292;0.199760193;2;juvenile;female;902;529;4;62.99212598;Tri
2236;komatsu;29;18;0.36342292;0.199760193;2;juvenile;female;902;529;4;0;Tri
2212;kote;25;15;0.41871722;0.195068355;5;juvenile;male;1206;468;4;0;Tri
2321;kote;42;15;0.41871722;0.195068355;5;juvenile;male;1206;468;4;0;Tri
2334;kote;44;15;0.41871722;0.195068355;5;juvenile;male;1206;468;4;0;Tri
2340;kote;48;15;0.41871722;0.195068355;5;juvenile;male;1206;468;4;0;Tri
2159;mekki;16;21;0.73699012;0.945367098;2;juvenile;male;590;445;4;1593.291405;Tri
2169;mekki;19;21;0.73699012;0.945367098;2;juvenile;male;590;445;4;1990.049751;Tri
2200;mekki;25;21;0.73699012;0.945367098;2;juvenile;male;590;445;4;4230.769231;Tri
2272;mekki;35;21;0.73699012;0.945367098;2;juvenile;male;590;445;4;5785.123967;Tri
2224;mochi;29;16;0.40614736;0.107657791;2;juvenile;female;635;489;4;19.60784314;Tri
2306;mochi;42;16;0.40614736;0.107657791;2;juvenile;female;635;489;4;191.2960306;Tri
2328;mochi;44;16;0.40614736;0.107657791;2;juvenile;female;635;489;4;78.81773399;Tri
2330;mochi;44;16;0.40614736;0.107657791;2;juvenile;female;635;489;4;23.85211688;Tri
2174;noko;19;18;0.22999402;0.228971989;2;juvenile;male;952;474;4;1420.500404;Tri
2292;noko;39;18;0.22999402;0.228971989;2;juvenile;male;952;474;4;1764.941837;Tri
2318;noko;42;18;0.22999402;0.228971989;2;juvenile;male;952;474;4;1538.461538;Tri
2327;noko;44;18;0.22999402;0.228971989;2;juvenile;male;952;474;4;1427.412814;Tri
2145;pan;14;13;0.23740698;0.167690102;2;juvenile;female;615;445;4;0;Tri
2304;pan;42;13;0.23740698;0.167690102;2;juvenile;female;615;445;4;0;Tri
2329;pan;44;13;0.23740698;0.167690102;2;juvenile;female;615;445;4;0;Tri
2339;pan;46;13;0.23740698;0.167690102;2;juvenile;female;615;445;4;0;Tri
2119;pichi;1;10;0.13377267;0.097227688;3;juvenile;female;495;448;4;1435.365326;Tri
2203;pichi;25;10;0.13377267;0.097227688;3;juvenile;female;495;448;4;147.5334255;Tri
2250;pichi;30;10;0.13377267;0.097227688;3;juvenile;female;495;448;4;370.3703704;Tri
2278;pichi;36;10;0.13377267;0.097227688;3;juvenile;female;495;448;4;36.7816092;Tri
2117;shida;0;19;0.42610315;0.117721009;2;juvenile;male;964;424;4;2569.444444;Tri
2120;shida;8;19;0.42610315;0.117721009;2;juvenile;male;964;424;4;804.6940486;Tri
2148;shida;14;19;0.42610315;0.117721009;2;juvenile;male;964;424;4;634.9206349;Tri
2235;shida;29;19;0.42610315;0.117721009;2;juvenile;male;964;424;4;2266.666667;Tri
2153;shiira;14;17;0.46007404;0.120274763;4;juvenile;male;1030;519;4;1877.934272;Tri
2188;shiira;21;17;0.46007404;0.120274763;4;juvenile;male;1030;519;4;1616.871705;Tri
2233;shiira;29;17;0.46007404;0.120274763;4;juvenile;male;1030;519;4;3529.411765;Tri
2275;shiira;35;17;0.46007404;0.120274763;4;juvenile;male;1030;519;4;3753.753754;Tri
2149;tabu;14;21;0.46482145;0.179837452;3;juvenile;female;1240;498;4;407.1246819;Tri
2160;tabu;16;21;0.46482145;0.179837452;3;juvenile;female;1240;498;4;475.0593824;Tri
2256;tabu;31;21;0.46482145;0.179837452;3;juvenile;female;1240;498;4;1777.777778;Tri
2267;tabu;35;21;0.46482145;0.179837452;3;juvenile;female;1240;498;4;1392.35717;Tri
2141;tsutsuji;13;17;0.36184131;0.073052233;4;juvenile;female;1111;487;4;321.8390805;Tri
2157;tsutsuji;16;17;0.36184131;0.073052233;4;juvenile;female;1111;487;4;430.6864065;Tri
2207;tsutsuji;25;17;0.36184131;0.073052233;4;juvenile;female;1111;487;4;0;Tri
2225;tsutsuji;29;17;0.36184131;0.073052233;4;juvenile;female;1111;487;4;0;Tri
2147;yomogi;14;16;0.41578467;0.399709283;4;juvenile;male;996;521;4;0;Tri
2189;yomogi;21;16;0.41578467;0.399709283;4;juvenile;male;996;521;4;0;Tri
2221;yomogi;26;16;0.41578467;0.399709283;4;juvenile;male;996;521;4;0;Tri
2258;yomogi;32;16;0.41578467;0.399709283;4;juvenile;male;996;521;4;0;Tri
2133;yotsuba;11;18;0.59465071;0.701917261;2;juvenile;female;786;488;4;805.0314465;Tri
2180;yotsuba;19;18;0.59465071;0.701917261;2;juvenile;female;786;488;4;663.0630631;Tri
2193;yotsuba;23;18;0.59465071;0.701917261;2;juvenile;female;786;488;4;350.1094092;Tri
2237;yotsuba;29;18;0.59465071;0.701917261;2;juvenile;female;786;488;4;1325.301205;Tri
2124;yumin;9;11;0.21540521;0.04142374;2;juvenile;male;648;332;4;4040.920716;Tri
2137;yumin;12;11;0.21540521;0.04142374;2;juvenile;male;648;332;4;5181.558548;Tri
2191;yumin;23;11;0.21540521;0.04142374;2;juvenile;male;648;332;4;2758.62069;Tri
2228;yumin;29;11;0.21540521;0.04142374;2;juvenile;male;648;332;4;3716.129032;Tri
2178;yuu;19;8;0.40947882;0.038373871;5;juvenile;male;845;410;4;978.2608696;Tri
2223;yuu;27;8;0.40947882;0.038373871;5;juvenile;male;845;410;4;469.1358025;Tri
2257;yuu;31;8;0.40947882;0.038373871;5;juvenile;male;845;410;4;89.63585434;Tri
2281;yuu;37;8;0.40947882;0.038373871;5;juvenile;male;845;410;4;646.4646465;Tri
2151;beni;14;18;0.38512592;0.292248945;8;adult;female;569;439;4;0;Stro
2187;beni;21;18;0.38512592;0.292248945;8;adult;female;569;439;4;0;Stro
2194;beni;23;18;0.38512592;0.292248945;8;adult;female;569;439;4;0;Stro
2232;beni;29;18;0.38512592;0.292248945;8;adult;female;569;439;4;186.0465116;Stro
2128;kanna;9;9;0.52647711;0.04298231;13;adult;female;763;487;3;0;Stro
2294;kanna;39;9;0.52647711;0.04298231;13;adult;female;763;487;3;0;Stro
2317;kanna;42;9;0.52647711;0.04298231;13;adult;female;763;487;3;0;Stro
2163;kei;16;10;0.22241973;0.089141396;13;adult;male;2123;442;1;25.54278416;Stro
2154;keta;14;2;0.04116302;0.004948504;11;adult;male;1699;42;1;0;Stro
2241;kibana;30;14;0.76869011;0.43545496;13;adult;female;1234;462;4;0;Stro
2269;kibana;35;14;0.76869011;0.43545496;13;adult;female;1234;462;4;0;Stro
2287;kibana;38;14;0.76869011;0.43545496;13;adult;female;1234;462;4;0;Stro
2320;kibana;42;14;0.76869011;0.43545496;13;adult;female;1234;462;4;0;Stro
2171;kinoko;19;19;0.95657616;1;16;adult;female;1094;492;4;0;Stro
2211;kinoko;25;19;0.95657616;1;16;adult;female;1094;492;4;0;Stro
2230;kinoko;29;19;0.95657616;1;16;adult;female;1094;492;4;0;Stro
2319;kinoko;42;19;0.95657616;1;16;adult;female;1094;492;4;34.40860215;Stro
2195;kizu;24;11;0.77821192;0.984627364;11;adult;female;1110;450;4;55.55555556;Stro
2215;kizu;25;11;0.77821192;0.984627364;11;adult;female;1110;450;4;48.59086492;Stro
2260;kizu;32;11;0.77821192;0.984627364;11;adult;female;1110;450;4;56.08131791;Stro
2295;kizu;39;11;0.77821192;0.984627364;11;adult;female;1110;450;4;275.7262432;Stro
2131;mikan;10;11;0.46726232;0.38622847;10;adult;female;984;403;4;0;Stro
2168;mikan;18;11;0.46726232;0.38622847;10;adult;female;984;403;4;0;Stro
2265;mikan;35;11;0.46726232;0.38622847;10;adult;female;984;403;4;0;Stro
2323;mikan;42;11;0.46726232;0.38622847;10;adult;female;984;403;4;0;Stro
2298;minku;40;3;0.09459304;0.076826658;12;adult;male;1295;41;1;134.0033501;Stro
2176;mizu;19;13;0.37432529;0.271599354;8;adult;female;888;441;4;540.3257847;Stro
2186;mizu;21;13;0.37432529;0.271599354;8;adult;female;888;441;4;588.2352941;Stro
2268;mizu;35;13;0.37432529;0.271599354;8;adult;female;888;441;4;1163.213377;Stro
2313;mizu;42;13;0.37432529;0.271599354;8;adult;female;888;441;4;1078.278901;Stro
2118;muku;1;15;0.40710263;0.309278912;13;adult;female;731;441;4;0;Stro
2142;muku;13;15;0.40710263;0.309278912;13;adult;female;731;441;4;0;Stro
2150;muku;14;15;0.40710263;0.309278912;13;adult;female;731;441;4;0;Stro
2227;muku;29;15;0.40710263;0.309278912;13;adult;female;731;441;4;0;Stro
2181;okapi;20;17;0.34444186;0.161412423;11;adult;male;1282;448;4;0;Stro
2208;okapi;25;17;0.34444186;0.161412423;11;adult;male;1282;448;4;0;Stro
2249;okapi;30;17;0.34444186;0.161412423;11;adult;male;1282;448;4;0;Stro
2262;okapi;32;17;0.34444186;0.161412423;11;adult;male;1282;448;4;0;Stro
2132;okura;11;10;0.37667333;0.115712082;10;adult;female;1351;451;4;0;Stro
2144;okura;14;10;0.37667333;0.115712082;10;adult;female;1351;451;4;0;Stro
2167;okura;17;10;0.37667333;0.115712082;10;adult;female;1351;451;4;0;Stro
2205;okura;25;10;0.37667333;0.115712082;10;adult;female;1351;451;4;0;Stro
2139;omoto;12;22;0.76022332;0.655896416;14;adult;female;1338;437;4;0;Stro
2173;omoto;19;22;0.76022332;0.655896416;14;adult;female;1338;437;4;0;Stro
2248;omoto;30;22;0.76022332;0.655896416;14;adult;female;1338;437;4;0;Stro
2271;omoto;35;22;0.76022332;0.655896416;14;adult;female;1338;437;4;0;Stro
2127;serori;9;13;0.27424544;0.260621316;12;adult;female;791;467;4;0;Stro
2326;serori;44;13;0.27424544;0.260621316;12;adult;female;791;467;4;0;Stro
2341;serori;48;13;0.27424544;0.260621316;12;adult;female;791;467;4;0;Stro
2343;serori;49;13;0.27424544;0.260621316;12;adult;female;791;467;4;0;Stro
2172;shide;19;11;0.52355006;0.208498199;12;adult;female;1596;489;4;0;Stro
2251;shide;30;11;0.52355006;0.208498199;12;adult;female;1596;489;4;0;Stro
2273;shide;35;11;0.52355006;0.208498199;12;adult;female;1596;489;4;0;Stro
2277;shide;36;11;0.52355006;0.208498199;12;adult;female;1596;489;4;0;Stro
2121;shika;8;21;0.35285222;0.132088877;9;adult;male;1492;471;4;0;Stro
2197;shika;24;21;0.35285222;0.132088877;9;adult;male;1492;471;4;0;Stro
2283;shika;37;21;0.35285222;0.132088877;9;adult;male;1492;471;4;0;Stro
2299;shika;40;21;0.35285222;0.132088877;9;adult;male;1492;471;4;67.45362563;Stro
2201;shiso;25;10;0.36528611;0.065697063;14;adult;female;1551;447;4;0;Stro
2252;shiso;30;10;0.36528611;0.065697063;14;adult;female;1551;447;4;0;Stro
2286;shiso;38;10;0.36528611;0.065697063;14;adult;female;1551;447;4;0;Stro
2303;shiso;42;10;0.36528611;0.065697063;14;adult;female;1551;447;4;0;Stro
2146;toga;14;11;0.71953542;0.898793408;13;adult;female;615;445;4;126.6223488;Stro
2216;toga;25;11;0.71953542;0.898793408;13;adult;female;615;445;4;0;Stro
2259;toga;32;11;0.71953542;0.898793408;13;adult;female;615;445;4;0;Stro
2263;toga;35;11;0.71953542;0.898793408;13;adult;female;615;445;4;59.39123979;Stro
2209;tsuwa;25;16;0.31094998;0.079017008;6;adult;female;1202;481;4;0;Stro
2238;tsuwa;29;16;0.31094998;0.079017008;6;adult;female;1202;481;4;0;Stro
2274;tsuwa;35;16;0.31094998;0.079017008;6;adult;female;1202;481;4;0;Stro
2279;tsuwa;36;16;0.31094998;0.079017008;6;adult;female;1202;481;4;0;Stro
2185;usu;21;16;0.70190495;0.88855826;17;adult;female;798;410;4;0;Stro
2244;usu;30;16;0.70190495;0.88855826;17;adult;female;798;410;4;0;Stro
2288;usu;38;16;0.70190495;0.88855826;17;adult;female;798;410;4;36.03603604;Stro
2324;usu;43;16;0.70190495;0.88855826;17;adult;female;798;410;4;132.2751323;Stro
2135;yamu;12;18;0.74098186;0.350350816;19;adult;female;1509;488;4;0;Stro
2140;yamu;13;18;0.74098186;0.350350816;19;adult;female;1509;488;4;56.6572238;Stro
2198;yamu;24;18;0.74098186;0.350350816;19;adult;female;1509;488;4;36.03603604;Stro
2284;yamu;38;18;0.74098186;0.350350816;19;adult;female;1509;488;4;0;Stro
2130;yashi;10;10;0.72677929;0.165119228;21;adult;female;1516;447;4;0;Stro
2152;yashi;14;10;0.72677929;0.165119228;21;adult;female;1516;447;4;0;Stro
2253;yashi;30;10;0.72677929;0.165119228;21;adult;female;1516;447;4;0;Stro
2264;yashi;35;10;0.72677929;0.165119228;21;adult;female;1516;447;4;0;Stro
2170;yone;19;21;0.43814805;0.426382563;7;adult;female;1083;445;4;225.0351617;Stro
2199;yone;24;21;0.43814805;0.426382563;7;adult;female;1083;445;4;2708.333333;Stro
2229;yone;29;21;0.43814805;0.426382563;7;adult;female;1083;445;4;2136.181575;Stro
2266;yone;35;21;0.43814805;0.426382563;7;adult;female;1083;445;4;2802.037846;Stro
2158;yuna;16;7;0.3550599;0.042972482;7;adult;female;674;452;4;197.5308642;Stro
2217;yuna;25;7;0.3550599;0.042972482;7;adult;female;674;452;4;196.6982789;Stro
2222;yuna;26;7;0.3550599;0.042972482;7;adult;female;674;452;4;109.2896175;Stro
2231;yuna;29;7;0.3550599;0.042972482;7;adult;female;674;452;4;306.51341;Stro
2162;betei;16;14;0.28800437;0.177110947;3;juvenile;female;436;485;4;9939.393939;Stro
2175;betei;19;14;0.28800437;0.177110947;3;juvenile;female;436;485;4;3144.654088;Stro
2213;betei;25;14;0.28800437;0.177110947;3;juvenile;female;436;485;4;3544.715447;Stro
2254;betei;31;14;0.28800437;0.177110947;3;juvenile;female;436;485;4;1629.82228;Stro
2134;binega;11;18;0.51352078;0.405885635;4;juvenile;female;346;480;4;7830.342577;Stro
2143;binega;14;18;0.51352078;0.405885635;4;juvenile;female;346;480;4;4930.191972;Stro
2226;binega;29;18;0.51352078;0.405885635;4;juvenile;female;346;480;4;3289.760349;Stro
2242;binega;30;18;0.51352078;0.405885635;4;juvenile;female;346;480;4;5694.682676;Stro
2261;bon;32;7;0.47927046;0.619969418;4;juvenile;male;590;472;4;5268.292683;Stro
2312;bon;42;7;0.47927046;0.619969418;4;juvenile;male;590;472;4;2330.468004;Stro
2332;bon;44;7;0.47927046;0.619969418;4;juvenile;male;590;472;4;1678.108314;Stro
2337;bon;45;7;0.47927046;0.619969418;4;juvenile;male;590;472;4;1143.654114;Stro
2184;botan;21;12;0.57576761;0.712585327;2;juvenile;female;512;431;4;5454.545455;Stro
2270;botan;35;12;0.57576761;0.712585327;2;juvenile;female;512;431;4;4141.776185;Stro
2307;botan;42;12;0.57576761;0.712585327;2;juvenile;female;512;431;4;4862.155388;Stro
2335;botan;44;12;0.57576761;0.712585327;2;juvenile;female;512;431;4;2305.173543;Stro
2136;hado;12;14;0.37002238;0.239518961;4;juvenile;female;836;433;4;1582.952816;Stro
2206;hado;25;14;0.37002238;0.239518961;4;juvenile;female;836;433;4;1297.935103;Stro
2234;hado;29;14;0.37002238;0.239518961;4;juvenile;female;836;433;4;1752.738654;Stro
2247;hado;30;14;0.37002238;0.239518961;4;juvenile;female;836;433;4;1851.851852;Stro
2125;haku;9;6;0.27815987;0.190691365;2;juvenile;male;1022;444;4;4172.661871;Stro
2138;haku;12;6;0.27815987;0.190691365;2;juvenile;male;1022;444;4;4610.419548;Stro
2155;haku;16;6;0.27815987;0.190691365;2;juvenile;male;1022;444;4;4093.567251;Stro
2246;haku;30;6;0.27815987;0.190691365;2;juvenile;male;1022;444;4;6867.16792;Stro
2177;hiba;19;12;0.55441883;0.799084552;3;juvenile;female;693;441;4;2432.748538;Stro
2196;hiba;24;12;0.55441883;0.799084552;3;juvenile;female;693;441;4;7726.737338;Stro
2204;hiba;25;12;0.55441883;0.799084552;3;juvenile;female;693;441;4;8618.874038;Stro
2239;hiba;30;12;0.55441883;0.799084552;3;juvenile;female;693;441;4;11343.0207;Stro
2210;hirame;25;20;0.7272077;0.910951146;1;juvenile;male;726;485;2;19711.50097;Stro
2338;hirame;45;20;0.7272077;0.910951146;1;juvenile;male;726;485;2;11787.64897;Stro
2165;komatsu;16;18;0.36342292;0.199760193;2;juvenile;female;902;529;4;8208.208208;Stro
2179;komatsu;19;18;0.36342292;0.199760193;2;juvenile;female;902;529;4;3814.85629;Stro
2192;komatsu;23;18;0.36342292;0.199760193;2;juvenile;female;902;529;4;10708.66142;Stro
2236;komatsu;29;18;0.36342292;0.199760193;2;juvenile;female;902;529;4;8820.826953;Stro
2212;kote;25;15;0.41871722;0.195068355;5;juvenile;male;1206;468;4;900.6363191;Stro
2321;kote;42;15;0.41871722;0.195068355;5;juvenile;male;1206;468;4;641.025641;Stro
2334;kote;44;15;0.41871722;0.195068355;5;juvenile;male;1206;468;4;864.6188851;Stro
2340;kote;48;15;0.41871722;0.195068355;5;juvenile;male;1206;468;4;151.5151515;Stro
2159;mekki;16;21;0.73699012;0.945367098;2;juvenile;male;590;445;4;18406.7086;Stro
2169;mekki;19;21;0.73699012;0.945367098;2;juvenile;male;590;445;4;4129.353234;Stro
2200;mekki;25;21;0.73699012;0.945367098;2;juvenile;male;590;445;4;6682.692308;Stro
2272;mekki;35;21;0.73699012;0.945367098;2;juvenile;male;590;445;4;22066.1157;Stro
2224;mochi;29;16;0.40614736;0.107657791;2;juvenile;female;635;489;4;2098.039216;Stro
2306;mochi;42;16;0.40614736;0.107657791;2;juvenile;female;635;489;4;2027.737924;Stro
2328;mochi;44;16;0.40614736;0.107657791;2;juvenile;female;635;489;4;1576.35468;Stro
2330;mochi;44;16;0.40614736;0.107657791;2;juvenile;female;635;489;4;1216.457961;Stro
2174;noko;19;18;0.22999402;0.228971989;2;juvenile;male;952;474;4;4519.774011;Stro
2292;noko;39;18;0.22999402;0.228971989;2;juvenile;male;952;474;4;23826.7148;Stro
2318;noko;42;18;0.22999402;0.228971989;2;juvenile;male;952;474;4;8058.608059;Stro
2327;noko;44;18;0.22999402;0.228971989;2;juvenile;male;952;474;4;9343.065693;Stro
2145;pan;14;13;0.23740698;0.167690102;2;juvenile;female;615;445;4;8198.883815;Stro
2304;pan;42;13;0.23740698;0.167690102;2;juvenile;female;615;445;4;4775.549188;Stro
2329;pan;44;13;0.23740698;0.167690102;2;juvenile;female;615;445;4;5176.767677;Stro
2339;pan;46;13;0.23740698;0.167690102;2;juvenile;female;615;445;4;6179.89418;Stro
2119;pichi;1;10;0.13377267;0.097227688;3;juvenile;female;495;448;4;933.8521401;Stro
2203;pichi;25;10;0.13377267;0.097227688;3;juvenile;female;495;448;4;12835.40802;Stro
2250;pichi;30;10;0.13377267;0.097227688;3;juvenile;female;495;448;4;12145.06173;Stro
2278;pichi;36;10;0.13377267;0.097227688;3;juvenile;female;495;448;4;3641.37931;Stro
2117;shida;0;19;0.42610315;0.117721009;2;juvenile;male;964;424;4;104.1666667;Stro
2120;shida;8;19;0.42610315;0.117721009;2;juvenile;male;964;424;4;3487.007544;Stro
2148;shida;14;19;0.42610315;0.117721009;2;juvenile;male;964;424;4;79.36507937;Stro
2235;shida;29;19;0.42610315;0.117721009;2;juvenile;male;964;424;4;3133.333333;Stro
2153;shiira;14;17;0.46007404;0.120274763;4;juvenile;male;1030;519;4;0;Stro
2188;shiira;21;17;0.46007404;0.120274763;4;juvenile;male;1030;519;4;632.6889279;Stro
2233;shiira;29;17;0.46007404;0.120274763;4;juvenile;male;1030;519;4;1137.254902;Stro
2275;shiira;35;17;0.46007404;0.120274763;4;juvenile;male;1030;519;4;750.7507508;Stro
2149;tabu;14;21;0.46482145;0.179837452;3;juvenile;female;1240;498;4;101.7811705;Stro
2160;tabu;16;21;0.46482145;0.179837452;3;juvenile;female;1240;498;4;2375.296912;Stro
2256;tabu;31;21;0.46482145;0.179837452;3;juvenile;female;1240;498;4;3285.024155;Stro
2267;tabu;35;21;0.46482145;0.179837452;3;juvenile;female;1240;498;4;5751.040484;Stro
2141;tsutsuji;13;17;0.36184131;0.073052233;4;juvenile;female;1111;487;4;2022.988506;Stro
2157;tsutsuji;16;17;0.36184131;0.073052233;4;juvenile;female;1111;487;4;1292.059219;Stro
2207;tsutsuji;25;17;0.36184131;0.073052233;4;juvenile;female;1111;487;4;2500.90876;Stro
2225;tsutsuji;29;17;0.36184131;0.073052233;4;juvenile;female;1111;487;4;3546.889508;Stro
2147;yomogi;14;16;0.41578467;0.399709283;4;juvenile;male;996;521;4;531.9148936;Stro
2189;yomogi;21;16;0.41578467;0.399709283;4;juvenile;male;996;521;4;2502.415459;Stro
2221;yomogi;26;16;0.41578467;0.399709283;4;juvenile;male;996;521;4;7020.585049;Stro
2258;yomogi;32;16;0.41578467;0.399709283;4;juvenile;male;996;521;4;3024.054983;Stro
2133;yotsuba;11;18;0.59465071;0.701917261;2;juvenile;female;786;488;4;1911.949686;Stro
2180;yotsuba;19;18;0.59465071;0.701917261;2;juvenile;female;786;488;4;3603.603604;Stro
2193;yotsuba;23;18;0.59465071;0.701917261;2;juvenile;female;786;488;4;4288.840263;Stro
2237;yotsuba;29;18;0.59465071;0.701917261;2;juvenile;female;786;488;4;4979.919679;Stro
2124;yumin;9;11;0.21540521;0.04142374;2;juvenile;male;648;332;4;11048.59335;Stro
2137;yumin;12;11;0.21540521;0.04142374;2;juvenile;male;648;332;4;6976.744186;Stro
2191;yumin;23;11;0.21540521;0.04142374;2;juvenile;male;648;332;4;8053.392659;Stro
2228;yumin;29;11;0.21540521;0.04142374;2;juvenile;male;648;332;4;10477.41935;Stro
2178;yuu;19;8;0.40947882;0.038373871;5;juvenile;male;845;410;4;2228.26087;Stro
2223;yuu;27;8;0.40947882;0.038373871;5;juvenile;male;845;410;4;1802.469136;Stro
2257;yuu;31;8;0.40947882;0.038373871;5;juvenile;male;845;410;4;1344.537815;Stro
2281;yuu;37;8;0.40947882;0.038373871;5;juvenile;male;845;410;4;2747.474747;Stro